ID,German_Word,Plural_Form,English_Translation,Word_Type,Gender,Example_Sentence_DE,Example_Sentence_EN
95,das Bett,-en,bed,Noun,n,Wir brauchen noch ein Kinderbett.,We need another children’s bed.
96,bezahlen,,to pay,Verb,,Wo muss ich bezahlen?,Where do I need to pay?
97,das Bier,,beer,Noun,n,Noch ein Bier bitte.,"Another beer, please."
98,das Bild,-er,picture,Noun,n,Hast du ein Bild von deinem Sohn?,Do you have a picture of your son?
99,billig,,cheap,Verb,,Die Jacke kostet nur 10 Euro! Die ist aber billig!,The jacket only costs 10 euros! That’s cheap!
100,die Birne,-n,pear,Noun,f,"Ein Kilo Birnen, bitte!","One kilogram of pears, please!"
101,bis,,to (as far as),Verb,,Ich fahre nur bis Stuttgart.,I’m only travelling to Stuttgart.
102,bis,,until,Verb,,Ich warte bis morgen.,I will wait until tomorrow.
103,bisschen,,(a) little,Verb,,"Ich spreche Englisch, Französisch und ein bisschen Deutsch.","I speak English, French, and a little German."
104,bitte,,please,Verb,,"Eine Tasse Kaffee, bitte!","A cup of coffee, please!"
105,bitte,,please,Verb,,Sprechen Sie bitte leise!,Please speak softly!
106,die Bitte,-n,request,Noun,f,Ich habe noch eine Bitte.,I have one more request.
107,bitten,,to ask,Verb,,Darf ich Sie um etwas bitten?,May I ask something of you?
108,bitter,,bitter,Verb,,Der Kaffee schmeckt bitter.,The coffee tastes bitter.
109,bleiben,,to stay,Verb,,Ich bleibe heute zu Hause.,I'm staying home today.
110,bleiben,,to stay,Verb,,Wir bleiben nur bis morgen.,We are only staying until tomorrow.
111,der Bleistift,-e,pencil,Noun,m,Hast du einen Bleistift?,Do you have a pencil?
112,der Blick,,view,Noun,m,Von diesem Hotel hat man einen guten Blick auf den Rhein.,From this hotel you have a good view of the Rhine.
113,die Blume,-n,flower,Noun,f,Gefallen dir die Blumen?,Do you like the flowers?
114,der Bogen,,sheet,Noun,m,Schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.,Write your solutions on the answer sheet.
115,böse,,angry,Verb,,Sie ist böse auf mich.,She is angry with me.
116,brauchen,,to need,Verb,,Brauchst du die Zeitung noch?,Do you still need the newspaper?
117,breit,,wide,Verb,,Wie breit ist der Schrank?,How wide is the cupboard?
118,der Brief,-e,letter,Noun,m,Haben Sie einen Brief für mich?,Do you have a letter for me?
119,die Briefmarke,-n,(postage) stamp,Noun,f,Kaufst du bitte Briefmarken bei der Post.,Could you please buy stamps at the post office.
120,bringen,,to bring,Verb,,Bringen Sie mir bitte noch einen Kaffee!,Please bring me another coffee!
121,bringen,,to take,Verb,,Wir müssen ihn zum Arzt bringen.,We need to take him to the doctor.
122,das Brot,-e,bread,Noun,n,Haben Sie auch Weißbrot?,"Do you have white bread, too?"
123,das Brot,-e,bread roll,Noun,n,Nimm noch ein paar Brote für die Fahrt mit.,Take another couple of bread rolls for the journey.
124,das Brötchen,–,bread roll,Noun,n,Möchtest du Brötchen zum Frühstück?,Would you like bread rolls for breakfast?
125,der Bruder,-ü,brother,Noun,m,Sein Bruder arbeitet auch hier.,His brother also works here.
126,das Buch,"-ü, er",book,Noun,n,Gute Bücher sind oft sehr teuer.,Good books are often very expensive.
127,das Wörterbuch,"-ü, er",dictionary,Noun,n,In diesem Wörterbuch finden Sie mehr als 20.000 Wörter.,"You will find more than 20,000 words in this dictionary."
128,der Buchstabe,-n,letter (character),Noun,m,Diesen Buchstaben gibt es in meiner Sprache nicht.,We don't have this letter in my language.
129,buchstabieren,,to spell,Verb,,Bitte buchstabieren Sie Ihren Namen.,Please spell your name.
130,der Bus,-se,bus,Noun,m,Wann kommt der nächste Bus?,When does the next bus arrive?
131,die Butter,,butter,Noun,f,Für mich bitte ein Brötchen mit Butter und Käse.,"A bread roll with butter and cheese for me, please."
132,das Café,-s,cafe,Noun,n,Sollen wir uns im Café treffen?,Should we meet at the cafe?
133,die CD,-s,CD,Noun,f,Bring bitte deine Lieblings-CD mit.,Please bring your favourite CD with you.
134,der Chef,,boss,Noun,m,Wir haben eine neue Chefin.,We have a new boss.
135,circa/ca.,,approximately,Verb,,Von Mainz nach Frankfurt sind es circa fünfzig Kilometer.,From Mainz to Frankfurt it is approximately 50 kilometres.
136,der Computer,–,computer,Noun,m,Wann bekommst du deinen neuen Computer?,When are you getting your new computer?
137,da,,there,Verb,,Da hinten ist er ja.,He’s back there.
138,da,,here,Verb,,Wir sprechen gerade über Paul. Da kommt er ja gerade.,We are talking about Paul. Here he comes now.
139,da,,there,Verb,,Ich nehme das da.,I’ll take that there.
140,da,,here,Verb,,Ist Herr Klein schon da?,Is Mr Klein already here?
141,die Dame,-n,lady,Noun,f,Damen (an der Toilette),Ladies (toilet sign)
142,die Dame,-n,lady,Noun,f,Sehr geehrte Damen und Herren!,Ladies and gentlemen!
143,daneben,,next to it,Verb,,Du kennst doch die Post. Daneben ist die Bank.,You do know the post office. The bank is next to it.
144,danken,,to thank,Verb,,Ich danke Ihnen für die Einladung.,I thank you for the invitation.
145,der Dank,,thanks,Noun,m,Vielen Dank!,Many thanks!
146,der Dank,,thanks,Noun,m,Herzlichen Dank!,Thank you very much!
147,danke,,thank you,Verb,,"Soll ich Ihnen helfen? / Nein, danke!",Can I help you? / No thank you!
148,dann,,then (afterwards),Verb,,"Ich muss noch schnell zur Post, dann komme ich.","I still need to pop to the post office, then I’ll come."
149,das Datum,,date,Noun,n,Bitte schreiben Sie noch das Datum auf das Formular.,Please write the date on the form.
150,dauern,,to take (duration),Verb,,Wie lange dauert der Film?,How long is the film?
151,dein-,,your,Verb,,Ist das dein Auto?,Is that your car?
152,dein-,,yourself,Verb,,Ist das deins?,Is that yours?
153,denn,,because,Verb,,"Ich kann nicht kommen, denn ich bin krank.",I can’t come because I’m ill.
154,das,,that,Verb,,Ich nehme das da.,I’ll take that there.
155,das,,the,Verb,,Ich mag das Buch.,I like the book.
156,der,,the,Verb,,"Hier ist der Brief, den du suchst.",Here is the letter that you’re looking for.
157,die,,the,Verb,,Die Fahrkarte bekommst du am Bahnhof.,You will get the ticket at the train station.
158,dich,,you,Verb,,Die Blumen sind für dich.,The flowers are for you.
159,dies-,,this,Verb,,Ich nehme lieber diesen Kuchen.,I’d prefer to have this cake.
160,dir,,you,Verb,,Gefallen dir die Blumen?,Do you like the flowers?
161,die Disco,,disco,Noun,f,Heute abend gehen wir in die Disco tanzen.,This evening we’re going dancing in the disco.
162,der Doktor,,doctor,Noun,m,Meine Tochter ist krank. Wir gehen zum Doktor.,My daughter is sick. We are going to the doctor.
163,das Doppelzimmer,,double room,Noun,n,Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?,Would you like a double room or a single room?
164,das Dorf,"-ö, er",village,Noun,n,Meine Familie lebt in einem Dorf.,My family lives in a village.
165,dort,,there,Verb,,Dort ist mein Zimmer.,There's my room.
166,dorthin,,"there (to that place, in that direction)",Verb,,Deine Tasche kannst du dorthin stellen.,You can put your bag there.
167,dorther,,from there,Verb,,Er kommt gerade dorther.,He's just coming from there.
168,draußen,,outside,Verb,,Wollen wir draußen sitzen?,Shall we sit outside?
169,drucken,,to print,Verb,,Bitte drucke das Formular für mich.,Please print the form for me.
170,der Drucker,–,printer,Noun,m,Mein Drucker ist kaputt.,My printer is broken.
171,drücken,,to press,Verb,,"Drück hier, dann geht der Computer an.","Press here, then the computer turns on."
172,durch,,through,Verb,,Am besten gehen Sie durch die Breite Straße.,It's best to go through Breite Straße.
173,die Durchsage,-n,announcement,Noun,f,Ich habe die Durchsage nicht verstanden.,I didn’t understand the announcement.
174,dürfen,,to be allowed,Verb,,Sie dürfen hier nicht rauchen.,You are not allowed to smoke here.
175,dürfen,,to be allowed,Verb,,Darf ich Sie zu einem Kaffee einladen?,May I invite you for a coffee?
176,dürfen,,to be allowed,Verb,,Es darf nicht mehr als 15 Euro kosten.,It may not cost more than 15 euros.
177,der Durst,,thirst,Noun,m,Hast du etwas zu trinken? Ich habe großen Durst.,Do you have anything to drink? I’m very thirsty.
178,(sich) duschen,,to shower,Verb,,"Ich bade nicht so gern, ich dusche lieber.","I don’t like bathing so much, I prefer to shower."
179,die Dusche,,shower,Noun,f,Unsere Wohnung hat nur eine Dusche.,Our flat only has a shower.
180,die Ecke,-n,corner,Noun,f,An der nächsten Ecke links.,Left at the next corner.
181,die Ehefrau,-en/,wife,Noun,f,Das ist meine (Ehe-) Frau.,That is my wife.
182,der Ehemann,"ä, er",husband,Noun,m,Das ist mein (Ehe-) Mann.,That is my husband.
183,das Ei,-er,egg,Noun,n,Möchtest du ein Ei zum Frühstück?,Would you like an egg for breakfast?
184,eilig,,…,Verb,,Hast du es eilig?,Are you in a hurry?
185,ein-,,one / a,Verb,,Ich nehme ein Bier. Willst du auch eins?,"I’ll have a beer. Do you want one, too?"
186,ein-,,someone,Verb,,"Ist hier einer, der das kann?",Is there someone here who can do that?
187,einfach,,simple,Verb,,Die Prüfung ist ganz einfach.,The test is very simple.
188,einfach,,a single (ticket),Verb,,"Hin und zurück? / Nein, bitte nur einfach.","Return? / No, just a single, please."
189,einfach,,simple,Verb,,Ich brauche nur ein einfaches Zimmer.,I just need a simple room.
190,der Eingang,,entrance,Noun,m,Der Eingang ist um die Ecke.,The entrance is round the corner.
191,einkaufen,,to go shopping,Verb,,Ich muss noch für morgen einkaufen.,I still need to go shopping for tomorrow.
192,einladen,,to invite / treat,Verb,,Darf ich Sie zu einem Kaffee einladen?,May I treat you to a coffee?
193,die Einladung,,invitation,Noun,f,Danke für die Einladung!,Thank you for the invitation!
194,noch einmal,,again,Verb,,Diese Prüfung mache ich nicht noch einmal.,I will not take this exam again.
195,einmal,,once,Verb,,Sie dürfen diese Prüfung nur einmal machen.,You may only take this exam once.
196,einsteigen,,to get on (board),Verb,,"Schnell, steig ein, der Zug fährt gleich.","Quick, get on, the train is about to leave!"
197,der Eintritt,,entry,Noun,m,Der Preis für den Eintritt ist 5 Euro.,The price for entry is 5 euros.
198,das Einzelzimmer,,single room,Noun,n,Haben Sie noch ein Einzelzimmer?,Do you have another single room?
199,die Eltern (pl.),,parents,Noun,f,Meine Eltern leben in Spanien.,My parents live in spain.
200,die E-Mail,-s,email,Noun,f,Ich habe Ihre E-Mail nicht bekommen.,I didn’t receive your email.
201,der Empfänger,–,recipient,Noun,m,"Auf dem Brief steht dein Name, also bist du der Empfänger.","Your name is on the letter, therefore you are the recipient."
202,empfehlen,,to recommend,Verb,,Welchen Wein können Sie mir empfehlen?,Which wine can you recommend to me?
203,enden,,to end,Verb,,Die Straße endet hier.,The street ends here.
204,das Ende,,end,Noun,n,Sie wohnt am Ende der Straße.,She lives at the end of the street.
205,das Ende,,end,Noun,n,Er bekommt sein Geld am Ende des Monats.,He gets his money at the end of the month.
206,entschuldigen,,to excuse,Verb,,Entschuldigen Sie bitte!,"Excuse me, please!"
207,die Entschuldigung,,…,Noun,f,Entschuldigung! / Bitte.,Excuse me! / Sure.
208,er,,he,Verb,,Er heißt Ali.,He’s called Ali.
209,das Ergebnis,-se,result,Noun,n,Das Ergebnis des Tests bekommen Sie in zwei Wochen.,You will receive the test results in two weeks.
210,erklären,,to explain,Verb,,Kannst du mir das erklären?,Can you explain that to me?
211,erlauben,,allow,Verb,,Rauchen ist hier nicht erlaubt.,Smoking is not allowed here.
212,der Erwachsene,-n,adult,Noun,m,Dieser Film ist nur für Erwachsene.,This film is for adults only.
213,erzählen,,to tell,Verb,,Wir müssen euch etwas erzählen!,We need to tell you something!
214,es,,it,Verb,,Es regnet.,It’s raining.
215,essen,,to eat,Verb,,Was gibt es zu essen?,What is there to eat?
216,das Essen,,food,Noun,n,Das Essen ist heute sehr gut.,The food is very good today.
217,euer,,your [pl.],Verb,,Euer Kurs beginnt heute.,Your course begins today.
218,fahren,,to travel,Verb,,Ich fahre mit dem Auto zur Arbeit.,I go to work by car.
219,der Fahrer,,driver,Noun,m,Bitte nicht mit dem Fahrer sprechen!,Please do not speak to the driver!
220,die Fahrkarte,-n,(transport) ticket,Noun,f,Hast du schon eine Fahrkarte?,Do you already have a ticket?
221,das Fahrrad,"-ä, er",bicycle,Noun,n,Fährst du mit dem Fahrrad oder mit dem Auto?,Do you travel by bike or by car?
222,falsch,,wrong / incorrect,Verb,,Das ist falsch.,That is wrong.
223,die Familie,-n,family,Noun,f,Meine Familie lebt in Spanien.,My family lives in Spain.
224,der Familienname,,surname,Noun,m,Meine Familiennamen sind García González.,My surname is García González.
225,der Familienstand,,family/marital status,Noun,m,Bei „Familienstand“ musst du „ledig“ ankreuzen.,Under “family status” you have to tick “single”.
226,die Farbe,-n,colour,Noun,f,Die Farbe gefällt mir gut.,I like the colour.
227,das Fax,-e,fax,Noun,n,Schicken Sie uns einfach ein Fax!,Just send us a fax!
228,der Feierabend,,end of work/home time,Noun,m,Wir machen jetzt Feierabend.,We are calling it a day now. / We are finishing work for the day now.
229,der Feiertag,,bank holiday,Noun,m,Am Montag ist Feiertag.,Monday is a bank holiday.
230,feiern,,to celebrate,Verb,,Wir feiern heute meinen Geburtstag.,Today we are celebrating my birthday.
231,fehlen,,to be absent,Verb,,"Herr Müller ist nicht da, er fehlt schon seit drei Tagen.","Mr Müller is not here, he’s been absent for three days."
232,fehlen,,to be missing,Verb,,Was fehlt Ihnen?,What are you missing?
233,der Fehler,–,mistake,Noun,m,Diesen Fehler mache ich immer.,I always make this mistake.
234,fernsehen,,to watch TV,Verb,,Wollen wir heute Abend mal fernsehen?,Shall we watch TV this evening?
235,fertig,,finished / ready / done,Verb,,Bist du fertig?,Are you done?
236,fertig,,finished / ready / done,Verb,,Ist mein Auto schon fertig?,Is my car already finished?
237,das Feuer,,fire / lighter,Noun,n,Haben Sie Feuer?,Do you have a light?
238,das Fieber,,fever,Noun,n,Mein Mann hat noch immer Fieber.,My husband still has a fever.
239,der Film,-e,film,Noun,m,Ich möchte gern diesen Film sehen.,I would like to see this film.
240,finden,,to find,Verb,,Wir müssen den Schlüssel finden.,We must find the key.
241,die Firma,,company,Noun,f,Er arbeitet jetzt bei einer anderen Firma.,He works for another company now.
242,der Fisch,-e,fish,Noun,m,Ich esse gern Fisch. Fleisch mag ich nicht.,I like to eat fish. I don’t like meat.
243,die Flasche,-n,bottle,Noun,f,"Eine Flasche Bier, bitte.","A bottle of beer, please."
244,das Fleisch,,meat,Noun,n,Fleisch mag ich nicht.,I don’t like meat.
245,fliegen,,to fly,Verb,,Ich fliege nicht gern. Deshalb fahre ich mit dem Zug.,I don’t like to fly. That's why I travel by train.
246,abfliegen,,to depart (by air),Verb,,Wann fliegst du ab?,When do you depart?
247,der Abflug,,(flight) departure,Noun,m,Der Abflug ist um 11.20 Uhr.,Departure is at 11:20 am.
248,der Flughafen,,airport,Noun,m,Kannst du mich zum Flughafen bringen?,Can you take me to the airport?
249,das Flugzeug,,aeroplane,Noun,n,Das Flugzeug aus Berlin kommt heute später an.,The plane from Berlin will arrive later today.
250,das Formular,-e,form,Noun,n,Sie müssen dieses Formular ausfüllen.,You must fill out this form.
251,das Foto,-s,photograph,Noun,n,Darf ich ein Foto machen?,May I take a photo?
252,fragen,,to ask,Verb,,Er möchte Sie etwas fragen. Wann kommen Sie?,He wants to ask you something. When are you coming?
253,die Frage,-n,question,Noun,f,Ich habe eine Frage.,I have a question.
254,die Frau,,Ms,Noun,f,Das ist Frau Becker.,That is Ms Becker.
255,die Frau,,woman,Noun,f,Die Frau da drüben ist Eva Schmitt.,The woman over there is Eva Schmitt.
256,die Frauen,,women,Noun,f,Hier arbeiten mehr Frauen als Männer.,More women work here than men.
257,frei,,free,Verb,,Ist der Platz noch frei?,Is this seat still free?
258,die Freizeit,,free time,Noun,f,In meiner Freizeit spiele ich oft Fußball.,I often play football in my free time.
259,fremd,,foreign,Verb,,"Das weiß ich nicht, ich bin fremd hier.","I don’t know, I’m not from here."
260,(sich) freuen,,to look forward,Verb,,Ich freue mich auf den Urlaub.,I’m looking forward to the holiday.
261,der Freund,-e,friend,Noun,m,Das ist ein Freund von mir.,That is a friend of mine.
262,die Freundin,,friend / girlfriend,Noun,f,Das ist meine Freundin.,That is my friend/girlfriend.
263,früher,,earlier / in the past,Verb,,Früher waren wir oft zusammen im Kino.,In the past we often went to the cinema together.
264,frühstücken,,to have breakfast,Verb,,Am Sonntag frühstücke ich gern im Bett.,On Sunday I like to have breakfast in bed.
265,das Frühstück,,breakfast,Noun,n,Möchtest du ein Ei zum Frühstück?,Would you like an egg for breakfast?
266,die Führung,,tour,Noun,f,Die Führung durch das Haus beginnt in 3 Minuten.,The tour of the house begins in 3 minutes.
267,für,,for,Verb,,Das ist für Sie.,That's for you.
268,für,,for,Verb,,Das ist der Schlüssel für die Haustür.,That's the key for the front door.
269,für,,for,Verb,,Das ist das Brot für morgen.,That's the bread for tomorrow.
270,der Fuß,"-ü, e",foot,Noun,m,Der linke Fuß tut mir weh.,My left foot hurts.
271,der Fußball,,football,Noun,m,Spielt ihr gerne Fußball?,Do you like playing football?
272,der Garten,,garden,Noun,m,Wir haben leider keinen Garten.,Unfortunately we don't have a garden.
273,der Gast,"-ä, e",guest,Noun,m,Am Wochenende haben wir mehrere Gäste.,At the weekend we have several guests.
274,geben,,to give,Verb,,Kannst du mir bitte deinen Kugelschreiber geben?,"Can you give me your pen, please?"
275,es gibt,,there is/are,Verb,,Es gibt keine Karten mehr.,There are no more tickets.
276,geboren,,born,Verb,,Ich bin in Zagreb geboren.,I was born in Zagreb.
277,das Geburtsjahr,,birth year,Noun,n,"Das Geburtsjahr Ihres Sohnes, bitte?","Your son's year of birth, please?"
278,der Geburtsort,,birthplace,Noun,m,Bitte schreiben Sie Ihren Geburtsort auf das Formular.,Please write your birthplace on the form.
279,der Geburtstag,,birthday,Noun,m,Herzlichen Glückwunsch zum Geburtstag!,Best wishes on your birthday!
280,gefallen,,to like,Verb,,Das gefällt mir.,I like that.
281,gegen,,into,Verb,,Fahr nicht gegen den Baum!,Don’t drive into the tree!
282,gegen,,against,Verb,,Ich bin gegen diese Lösung.,I am against this solution.
283,gegen,,against,Verb,,Wer spielt gegen wen?,Who is playing against whom?
284,gehen,,to work/function,Verb,,"Ich weiß nicht, wie das geht.",I don’t know how it works./I don't know how to do that.
285,gehen,,to go,Verb,,Wie geht's?,How is it going?
286,gehen,,to go,Verb,,Jetzt muss ich (aber) leider gehen.,Unfortunately I need to go now.
287,gehen,,to go,Verb,,Ich muss zum Arzt gehen.,I need to go to the doctor.
288,gehen,,to be okay,Verb,,Das geht nicht!,That’s not okay!
289,gehören,,to belong,Verb,,Wem gehört das?,To whom does that belong?
290,das Geld,,money,Noun,n,Hast du noch Geld?,Do you still have money?
291,das Gemüse,,vegetables,Noun,n,Gemüse brauchen wir auch noch.,We also need vegetables.
292,das Gepäck,,luggage,Noun,n,Wollen Sie Ihr Gepäck mitnehmen?,Do you want to take your luggage with you?
